date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:17:24	7085/7085	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Mar%202025%2010:57:38%20GMT	https://homer.sii.cl/img/destacados_E4E64.jpg	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/destacados_E4E64.jpg	(from https://homer.sii.cl/)
09:17:25	12521/12521	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Apr%202025%2018:22:58%20GMT	https://homer.sii.cl/img/240425noti01pcr_ab962.jpg	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/240425noti01pcr_ab962.jpg	(from https://homer.sii.cl/)
09:17:25	4511/4511	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Mar%202025%2010:57:38%20GMT	https://homer.sii.cl/img/carrusel_bttm_E7623.jpg	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/carrusel_bttm_E7623.jpg	(from https://homer.sii.cl/)
09:17:25	1495/1495	---M--	200	added ('OK')	image/gif	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/img/banner_gob_transparente.gif	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/banner_gob_transparente.gif	(from https://homer.sii.cl/)
09:17:25	2209/2209	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/img/tranparencia_solicitud_infor.jpg	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/tranparencia_solicitud_infor.jpg	(from https://homer.sii.cl/)
09:17:25	10953/10953	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Mar%202025%2010:57:38%20GMT	https://homer.sii.cl/img/carrusel_bttm_F3868.jpg	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/carrusel_bttm_F3868.jpg	(from https://homer.sii.cl/)
09:17:26	9140/9140	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Mar%202025%2010:57:38%20GMT	https://homer.sii.cl/img/carrusel_bttm_77E63.jpg	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/carrusel_bttm_77E63.jpg	(from https://homer.sii.cl/)
09:17:26	11053/11053	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2010:57:37%20GMT	https://homer.sii.cl/img/carrusel_bttm_E9994.png	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/carrusel_bttm_E9994.png	(from https://homer.sii.cl/)
09:17:26	17417/17417	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Mar%202025%2010:57:36%20GMT	https://homer.sii.cl/img/bnr_cotizaciones_honorarios.jpg	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/bnr_cotizaciones_honorarios.jpg	(from https://homer.sii.cl/)
09:17:26	9051/9051	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Mar%202025%2010:57:38%20GMT	https://homer.sii.cl/img/carrusel_bttm_33633.jpg	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/carrusel_bttm_33633.jpg	(from https://homer.sii.cl/)
09:17:27	295100/295100	---M--	200	added ('OK')	application/javascript	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/js/h_general.js	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/js/h_general.js	(from https://homer.sii.cl/)
09:17:27	7484/7484	---M--	200	added ('OK')	application/javascript	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/js/h_functions.js	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/js/h_functions.js	(from https://homer.sii.cl/)
09:17:28	94582/94582	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c7e630b4a81163d9f2d5fd59bb7544e2:1552177412%22	http://assets.adobedtm.com/launch-EN2b1e36bbb6d548dfa15c1b55cb71b120.min.js	C:/My%20Web%20Sites/sii/sii_copia/assets.adobedtm.com/launch-EN2b1e36bbb6d548dfa15c1b55cb71b120.min.js	(from https://homer.sii.cl/)
09:17:29	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/fonts/glyphicons-halflings-regular.eot	(from https://homer.sii.cl/responsive/css/h_general.min.css)
09:17:29	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/fonts/glyphicons-halflings-regulard41d.eot	(from https://homer.sii.cl/responsive/css/h_general.min.css)
09:17:29	18028/18028	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/fonts/glyphicons-halflings-regular.html	(from https://homer.sii.cl/responsive/css/h_general.min.css)
09:17:29	23424/23424	---M--	200	added ('OK')	font/opentype	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/fonts/glyphicons-halflings-regular.woff	(from https://homer.sii.cl/responsive/css/h_general.min.css)
09:17:29	45404/45404	---M--	200	added ('OK')	font/truetype	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/fonts/glyphicons-halflings-regular.ttf	(from https://homer.sii.cl/responsive/css/h_general.min.css)
09:17:29	109312/109312	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/fonts/glyphicons-halflings-regular.svg	(from https://homer.sii.cl/responsive/css/h_general.min.css)
09:17:30	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/fonts/fontawesome-webfont.eot?v=4.6.3	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/fonts/fontawesome-webfont5b62.eot	(from https://homer.sii.cl/responsive/css/h_general.min.css)
09:17:30	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/fonts/fontawesome-webfontd41d.eot	(from https://homer.sii.cl/responsive/css/h_general.min.css)
09:17:30	71896/71896	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/fonts/fontawesome-webfont5b62.html	(from https://homer.sii.cl/responsive/css/h_general.min.css)
09:17:30	90412/90412	---M--	200	added ('OK')	font/opentype	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/fonts/fontawesome-webfont.woff?v=4.6.3	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/fonts/fontawesome-webfont5b62.woff	(from https://homer.sii.cl/responsive/css/h_general.min.css)
09:17:30	152796/152796	---M--	200	added ('OK')	font/truetype	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/fonts/fontawesome-webfont.ttf?v=4.6.3	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/fonts/fontawesome-webfont5b62.ttf	(from https://homer.sii.cl/responsive/css/h_general.min.css)
09:17:31	392306/392306	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/fonts/fontawesome-webfont.svg?v=4.6.3	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/fonts/fontawesome-webfont5b62.svg	(from https://homer.sii.cl/responsive/css/h_general.min.css)
09:17:31	1657/1657	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Mar%202025%2010:57:38%20GMT	https://homer.sii.cl/responsive/images/ayuda-home.jpg	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/images/ayuda-home.jpg	(from https://homer.sii.cl/responsive/css/h_estilos.css)
09:17:31	9074/9074	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/images/carrusel.jpg	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/images/carrusel.jpg	(from https://homer.sii.cl/responsive/css/h_estilos.css)
09:17:31	59683/59683	---M--	200	added ('OK')	image/jpeg	etag:%22e923-53e4eb050a680%22	https://zeus.sii.cl/admin/responsive/images/bienvenida.jpg	C:/My%20Web%20Sites/sii/sii_copia/zeus.sii.cl/admin/responsive/images/bienvenida.jpg	(from https://homer.sii.cl/responsive/css/h_estilos.css)
09:17:32	15000/15000	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/images/search.png	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/images/search.png	(from https://homer.sii.cl/responsive/css/h_estilos.css)
09:17:32	1657/1657	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Mar%202025%2010:57:38%20GMT	https://homer.sii.cl/get	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/get	(from http://assets.adobedtm.com/launch-EN2b1e36bbb6d548dfa15c1b55cb71b120.min.js)
09:17:32	1657/1657	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Mar%202025%2010:57:38%20GMT	https://homer.sii.cl/AppMeasurement_Module_AudienceManagement.js	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/AppMeasurement_Module_AudienceManagement.js	(from http://assets.adobedtm.com/launch-EN2b1e36bbb6d548dfa15c1b55cb71b120.min.js)
09:17:33	1657/1657	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Mar%202025%2010:57:38%20GMT	https://homer.sii.cl/AppMeasurement.js	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/AppMeasurement.js	(from http://assets.adobedtm.com/launch-EN2b1e36bbb6d548dfa15c1b55cb71b120.min.js)
